N6705B exported datalog,,
,,
Sample interval: 0.00999424,,
Trigger sample: 0,,
Date: Wed Jun 23 09:06:11 2021,,
,,
Sample,vol,Curr avg 1
0,3.89996,0.16735
1,3.90001,0.193037
2,3.90025,0.159203
3,3.89992,0.184962
4,3.90016,0.161449
5,3.90001,0.163091
6,3.89971,0.230336
7,3.90031,0.203742
8,3.90025,0.170869
9,3.90001,0.158453
10,3.90009,0.156988
11,3.9,0.15827
12,3.89993,0.184511
13,3.90029,0.186515
14,3.89999,0.181478
15,3.9002,0.18304
16,3.90008,0.158121
17,3.90005,0.158174
18,3.90005,0.159532
19,3.8998,0.187564
20,3.90038,0.169507
